DoubleProductOfTwo, DoubleSumOfTwo, DoubleSumSqrtsOfTwo
DoubleProductOfTwo, DoubleSumSqrtsOfTwo, DoubleProductOfTwo
DoubleProductOfTwo, DoubleSumOfTwo, DoubleSumOfTwo
DoubleProductOfTwo, DoubleProductOfTwo, DoubleSumSqrtsOfTwo
DoubleSumOfTwo, DoubleSumSqrtsOfTwo, DoubleSumOfTwo
DoubleSumOfTwo, DoubleSumOfTwo, DoubleSumSqrtsOfTwo
DoubleSumOfTwo, DoubleSumOfTwo, DoubleSumOfTwo
DoubleSumOfTwo, DoubleSumSqrtsOfTwo, DoubleProductOfTwo
DoubleSumSqrtsOfTwo, DoubleProductOfTwo, DoubleProductOfTwo
DoubleSumSqrtsOfTwo, DoubleProductOfTwo, DoubleSumOfTwo
DoubleSumOfTwo, DoubleSumOfTwo, DoubleSumOfTwo
DoubleProductOfTwo, DoubleProductOfTwo, DoubleSumOfTwo
DoubleSumSqrtsOfTwo, DoubleProductOfTwo, DoubleSumSqrtsOfTwo
DoubleSumSqrtsOfTwo, DoubleSumOfTwo, DoubleSumSqrtsOfTwo
DoubleSumOfTwo, DoubleSumOfTwo, DoubleSumSqrtsOfTwo
DoubleSumSqrtsOfTwo, DoubleSumSqrtsOfTwo, DoubleSumOfTwo
DoubleSumSqrtsOfTwo, DoubleSumOfTwo, DoubleSumOfTwo
DoubleSumSqrtsOfTwo, DoubleSumSqrtsOfTwo, DoubleSumSqrtsOfTwo
DoubleProductOfTwo, DoubleProductOfTwo, DoubleSumSqrtsOfTwo
DoubleSumOfTwo, DoubleSumOfTwo, DoubleProductOfTwo
DoubleProductOfTwo, DoubleSumSqrtsOfTwo, DoubleSumOfTwo
DoubleSumSqrtsOfTwo, DoubleProductOfTwo, DoubleSumOfTwo
DoubleSumOfTwo, DoubleProductOfTwo, DoubleSumSqrtsOfTwo
DoubleSumSqrtsOfTwo, DoubleProductOfTwo, DoubleSumOfTwo
DoubleSumSqrtsOfTwo, DoubleSumSqrtsOfTwo, DoubleSumOfTwo
DoubleProductOfTwo, DoubleSumOfTwo, DoubleSumSqrtsOfTwo
DoubleProductOfTwo, DoubleSumOfTwo, DoubleSumOfTwo
DoubleSumSqrtsOfTwo, DoubleSumSqrtsOfTwo, DoubleSumOfTwo
DoubleSumSqrtsOfTwo, DoubleSumOfTwo, DoubleSumSqrtsOfTwo
DoubleProductOfTwo, DoubleProductOfTwo, DoubleSumOfTwo
DoubleProductOfTwo, DoubleSumOfTwo, DoubleSumSqrtsOfTwo
DoubleSumOfTwo, DoubleProductOfTwo, DoubleProductOfTwo
DoubleSumOfTwo, DoubleSumSqrtsOfTwo, DoubleProductOfTwo
DoubleProductOfTwo, DoubleSumSqrtsOfTwo, DoubleSumSqrtsOfTwo
DoubleProductOfTwo, DoubleProductOfTwo, DoubleSumSqrtsOfTwo
DoubleSumSqrtsOfTwo, DoubleProductOfTwo, DoubleSumOfTwo
DoubleProductOfTwo, DoubleSumSqrtsOfTwo, DoubleSumSqrtsOfTwo
DoubleSumOfTwo, DoubleSumOfTwo, DoubleSumOfTwo
DoubleProductOfTwo, DoubleSumOfTwo, DoubleSumOfTwo
DoubleProductOfTwo, DoubleSumOfTwo, DoubleProductOfTwo
DoubleSumSqrtsOfTwo, DoubleSumOfTwo, DoubleSumSqrtsOfTwo
DoubleSumOfTwo, DoubleSumOfTwo, DoubleSumSqrtsOfTwo
DoubleSumOfTwo, DoubleSumOfTwo, DoubleSumSqrtsOfTwo
DoubleProductOfTwo, DoubleSumSqrtsOfTwo, DoubleProductOfTwo
DoubleProductOfTwo, DoubleSumOfTwo, DoubleSumOfTwo
DoubleProductOfTwo, DoubleSumOfTwo, DoubleSumOfTwo
DoubleProductOfTwo, DoubleProductOfTwo, DoubleSumOfTwo
DoubleSumOfTwo, DoubleProductOfTwo, DoubleSumSqrtsOfTwo
DoubleSumSqrtsOfTwo, DoubleProductOfTwo, DoubleProductOfTwo
DoubleSumSqrtsOfTwo, DoubleProductOfTwo, DoubleSumOfTwo
DoubleSumOfTwo, DoubleSumOfTwo, DoubleSumOfTwo
DoubleProductOfTwo, DoubleProductOfTwo, DoubleProductOfTwo
DoubleSumSqrtsOfTwo, DoubleSumSqrtsOfTwo, DoubleSumOfTwo
DoubleSumSqrtsOfTwo, DoubleProductOfTwo, DoubleProductOfTwo
DoubleSumSqrtsOfTwo, DoubleProductOfTwo, DoubleProductOfTwo
DoubleProductOfTwo, DoubleSumOfTwo, DoubleSumOfTwo
DoubleProductOfTwo, DoubleSumSqrtsOfTwo, DoubleProductOfTwo
DoubleProductOfTwo, DoubleSumSqrtsOfTwo, DoubleSumSqrtsOfTwo
DoubleSumSqrtsOfTwo, DoubleProductOfTwo, DoubleSumOfTwo
DoubleSumOfTwo, DoubleProductOfTwo, DoubleSumSqrtsOfTwo
DoubleSumSqrtsOfTwo, DoubleProductOfTwo, DoubleProductOfTwo
DoubleSumOfTwo, DoubleSumSqrtsOfTwo, DoubleProductOfTwo
DoubleSumSqrtsOfTwo, DoubleSumSqrtsOfTwo, DoubleProductOfTwo
DoubleSumSqrtsOfTwo, DoubleProductOfTwo, DoubleProductOfTwo
DoubleSumOfTwo, DoubleSumSqrtsOfTwo, DoubleSumOfTwo
DoubleSumSqrtsOfTwo, DoubleSumSqrtsOfTwo, DoubleSumOfTwo
DoubleSumSqrtsOfTwo, DoubleSumSqrtsOfTwo, DoubleProductOfTwo
DoubleProductOfTwo, DoubleSumSqrtsOfTwo, DoubleProductOfTwo
DoubleProductOfTwo, DoubleProductOfTwo, DoubleSumOfTwo
DoubleSumOfTwo, DoubleProductOfTwo, DoubleProductOfTwo
DoubleSumOfTwo, DoubleSumOfTwo, DoubleSumOfTwo
DoubleSumOfTwo, DoubleSumSqrtsOfTwo, DoubleProductOfTwo
DoubleSumSqrtsOfTwo, DoubleProductOfTwo, DoubleSumOfTwo
DoubleSumOfTwo, DoubleSumSqrtsOfTwo, DoubleProductOfTwo
DoubleProductOfTwo, DoubleProductOfTwo, DoubleSumOfTwo
DoubleSumOfTwo, DoubleProductOfTwo, DoubleSumOfTwo
DoubleSumSqrtsOfTwo, DoubleProductOfTwo, DoubleSumOfTwo
DoubleProductOfTwo, DoubleProductOfTwo, DoubleSumOfTwo
DoubleSumOfTwo, DoubleSumOfTwo, DoubleProductOfTwo
DoubleSumSqrtsOfTwo, DoubleSumOfTwo, DoubleSumOfTwo
DoubleProductOfTwo, DoubleSumOfTwo, DoubleProductOfTwo
DoubleSumSqrtsOfTwo, DoubleSumOfTwo, DoubleSumOfTwo
DoubleSumSqrtsOfTwo, DoubleSumSqrtsOfTwo, DoubleProductOfTwo
DoubleSumOfTwo, DoubleSumOfTwo, DoubleSumOfTwo
DoubleSumOfTwo, DoubleSumOfTwo, DoubleSumOfTwo
DoubleProductOfTwo, DoubleSumSqrtsOfTwo, DoubleProductOfTwo
DoubleProductOfTwo, DoubleSumOfTwo, DoubleSumOfTwo
DoubleSumSqrtsOfTwo, DoubleSumSqrtsOfTwo, DoubleProductOfTwo
DoubleSumSqrtsOfTwo, DoubleProductOfTwo, DoubleProductOfTwo
DoubleProductOfTwo, DoubleSumSqrtsOfTwo, DoubleProductOfTwo
DoubleSumSqrtsOfTwo, DoubleSumSqrtsOfTwo, DoubleSumSqrtsOfTwo
DoubleProductOfTwo, DoubleSumSqrtsOfTwo, DoubleProductOfTwo
DoubleProductOfTwo, DoubleSumOfTwo, DoubleSumSqrtsOfTwo
DoubleProductOfTwo, DoubleSumSqrtsOfTwo, DoubleSumSqrtsOfTwo
DoubleSumOfTwo, DoubleSumSqrtsOfTwo, DoubleSumOfTwo
DoubleSumSqrtsOfTwo, DoubleProductOfTwo, DoubleSumSqrtsOfTwo
DoubleSumSqrtsOfTwo, DoubleProductOfTwo, DoubleSumOfTwo
DoubleSumOfTwo, DoubleSumOfTwo, DoubleSumSqrtsOfTwo
DoubleSumSqrtsOfTwo, DoubleSumSqrtsOfTwo, DoubleProductOfTwo
DoubleProductOfTwo, DoubleSumSqrtsOfTwo, DoubleSumOfTwo
DoubleSumOfTwo, DoubleProductOfTwo, DoubleProductOfTwo
DoubleProductOfTwo, DoubleSumSqrtsOfTwo, DoubleSumSqrtsOfTwo
DoubleProductOfTwo, DoubleProductOfTwo, DoubleSumSqrtsOfTwo
DoubleSumSqrtsOfTwo, DoubleSumSqrtsOfTwo, DoubleSumSqrtsOfTwo
DoubleProductOfTwo, DoubleSumSqrtsOfTwo, DoubleProductOfTwo
DoubleSumSqrtsOfTwo, DoubleProductOfTwo, DoubleSumSqrtsOfTwo
DoubleSumSqrtsOfTwo, DoubleProductOfTwo, DoubleSumOfTwo
DoubleSumSqrtsOfTwo, DoubleSumSqrtsOfTwo, DoubleSumOfTwo
DoubleSumOfTwo, DoubleSumOfTwo, DoubleSumSqrtsOfTwo
DoubleProductOfTwo, DoubleProductOfTwo, DoubleSumOfTwo
DoubleProductOfTwo, DoubleSumOfTwo, DoubleProductOfTwo
DoubleProductOfTwo, DoubleProductOfTwo, DoubleProductOfTwo
DoubleSumOfTwo, DoubleSumOfTwo, DoubleProductOfTwo
DoubleSumSqrtsOfTwo, DoubleSumSqrtsOfTwo, DoubleSumSqrtsOfTwo
DoubleProductOfTwo, DoubleSumSqrtsOfTwo, DoubleSumSqrtsOfTwo
DoubleProductOfTwo, DoubleSumOfTwo, DoubleSumSqrtsOfTwo
DoubleSumOfTwo, DoubleSumOfTwo, DoubleProductOfTwo
DoubleSumOfTwo, DoubleSumSqrtsOfTwo, DoubleSumOfTwo
DoubleSumOfTwo, DoubleSumOfTwo, DoubleProductOfTwo
DoubleSumSqrtsOfTwo, DoubleSumSqrtsOfTwo, DoubleProductOfTwo
DoubleSumOfTwo, DoubleSumSqrtsOfTwo, DoubleProductOfTwo
DoubleProductOfTwo, DoubleProductOfTwo, DoubleSumOfTwo
DoubleSumOfTwo, DoubleSumSqrtsOfTwo, DoubleSumOfTwo
DoubleSumSqrtsOfTwo, DoubleProductOfTwo, DoubleProductOfTwo
DoubleProductOfTwo, DoubleSumSqrtsOfTwo, DoubleProductOfTwo
DoubleProductOfTwo, DoubleSumOfTwo, DoubleProductOfTwo
DoubleSumOfTwo, DoubleSumOfTwo, DoubleSumOfTwo
DoubleProductOfTwo, DoubleProductOfTwo, DoubleSumOfTwo
DoubleProductOfTwo, DoubleProductOfTwo, DoubleProductOfTwo
DoubleSumOfTwo, DoubleProductOfTwo, DoubleSumOfTwo
DoubleSumSqrtsOfTwo, DoubleSumSqrtsOfTwo, DoubleSumSqrtsOfTwo
DoubleSumOfTwo, DoubleSumSqrtsOfTwo, DoubleSumOfTwo
DoubleProductOfTwo, DoubleSumOfTwo, DoubleSumOfTwo
DoubleSumOfTwo, DoubleProductOfTwo, DoubleProductOfTwo
DoubleSumOfTwo, DoubleSumSqrtsOfTwo, DoubleSumSqrtsOfTwo
DoubleProductOfTwo, DoubleProductOfTwo, DoubleSumSqrtsOfTwo
DoubleProductOfTwo, DoubleProductOfTwo, DoubleSumSqrtsOfTwo
DoubleProductOfTwo, DoubleSumSqrtsOfTwo, DoubleProductOfTwo
DoubleProductOfTwo, DoubleSumOfTwo, DoubleSumOfTwo
DoubleProductOfTwo, DoubleSumSqrtsOfTwo, DoubleSumSqrtsOfTwo
DoubleSumOfTwo, DoubleSumSqrtsOfTwo, DoubleSumOfTwo
DoubleProductOfTwo, DoubleSumOfTwo, DoubleSumSqrtsOfTwo
DoubleSumSqrtsOfTwo, DoubleProductOfTwo, DoubleSumSqrtsOfTwo
DoubleSumSqrtsOfTwo, DoubleSumSqrtsOfTwo, DoubleProductOfTwo
DoubleProductOfTwo, DoubleProductOfTwo, DoubleSumSqrtsOfTwo
DoubleSumOfTwo, DoubleSumOfTwo, DoubleSumSqrtsOfTwo
DoubleSumOfTwo, DoubleSumSqrtsOfTwo, DoubleSumSqrtsOfTwo
DoubleSumOfTwo, DoubleProductOfTwo, DoubleSumSqrtsOfTwo
DoubleSumOfTwo, DoubleProductOfTwo, DoubleProductOfTwo
DoubleSumSqrtsOfTwo, DoubleProductOfTwo, DoubleProductOfTwo
DoubleSumSqrtsOfTwo, DoubleSumSqrtsOfTwo, DoubleSumSqrtsOfTwo
DoubleProductOfTwo, DoubleSumOfTwo, DoubleProductOfTwo
DoubleSumSqrtsOfTwo, DoubleSumSqrtsOfTwo, DoubleProductOfTwo
DoubleSumSqrtsOfTwo, DoubleSumOfTwo, DoubleSumSqrtsOfTwo
DoubleSumSqrtsOfTwo, DoubleSumOfTwo, DoubleSumOfTwo
DoubleSumOfTwo, DoubleSumOfTwo, DoubleSumOfTwo
DoubleSumSqrtsOfTwo, DoubleSumOfTwo, DoubleSumOfTwo
DoubleSumOfTwo, DoubleProductOfTwo, DoubleSumOfTwo
DoubleProductOfTwo, DoubleSumSqrtsOfTwo, DoubleProductOfTwo
DoubleProductOfTwo, DoubleSumOfTwo, DoubleSumSqrtsOfTwo
DoubleSumSqrtsOfTwo, DoubleSumOfTwo, DoubleProductOfTwo
DoubleSumOfTwo, DoubleSumSqrtsOfTwo, DoubleSumOfTwo
DoubleProductOfTwo, DoubleSumSqrtsOfTwo, DoubleProductOfTwo
DoubleSumSqrtsOfTwo, DoubleSumSqrtsOfTwo, DoubleSumOfTwo
DoubleProductOfTwo, DoubleSumSqrtsOfTwo, DoubleSumOfTwo
DoubleSumOfTwo, DoubleProductOfTwo, DoubleProductOfTwo
DoubleSumSqrtsOfTwo, DoubleSumOfTwo, DoubleSumSqrtsOfTwo
DoubleSumSqrtsOfTwo, DoubleSumSqrtsOfTwo, DoubleSumOfTwo
DoubleProductOfTwo, DoubleSumOfTwo, DoubleSumOfTwo
DoubleSumSqrtsOfTwo, DoubleProductOfTwo, DoubleSumSqrtsOfTwo
DoubleProductOfTwo, DoubleSumOfTwo, DoubleProductOfTwo
DoubleSumOfTwo, DoubleProductOfTwo, DoubleProductOfTwo
DoubleSumOfTwo, DoubleSumOfTwo, DoubleSumOfTwo
DoubleSumOfTwo, DoubleSumSqrtsOfTwo, DoubleProductOfTwo
DoubleSumSqrtsOfTwo, DoubleProductOfTwo, DoubleProductOfTwo
DoubleSumOfTwo, DoubleSumSqrtsOfTwo, DoubleSumSqrtsOfTwo
DoubleSumOfTwo, DoubleProductOfTwo, DoubleProductOfTwo
DoubleSumSqrtsOfTwo, DoubleProductOfTwo, DoubleProductOfTwo
DoubleSumSqrtsOfTwo, DoubleSumOfTwo, DoubleSumOfTwo
DoubleProductOfTwo, DoubleSumOfTwo, DoubleProductOfTwo
DoubleProductOfTwo, DoubleSumOfTwo, DoubleSumSqrtsOfTwo
DoubleSumOfTwo, DoubleSumOfTwo, DoubleProductOfTwo
DoubleProductOfTwo, DoubleSumOfTwo, DoubleSumOfTwo
DoubleProductOfTwo, DoubleSumOfTwo, DoubleProductOfTwo
DoubleSumSqrtsOfTwo, DoubleProductOfTwo, DoubleSumSqrtsOfTwo
DoubleSumOfTwo, DoubleSumSqrtsOfTwo, DoubleSumOfTwo
DoubleSumSqrtsOfTwo, DoubleSumOfTwo, DoubleSumOfTwo
DoubleSumOfTwo, DoubleProductOfTwo, DoubleProductOfTwo
DoubleProductOfTwo, DoubleSumSqrtsOfTwo, DoubleProductOfTwo
DoubleProductOfTwo, DoubleProductOfTwo, DoubleSumOfTwo
DoubleSumOfTwo, DoubleSumOfTwo, DoubleSumSqrtsOfTwo
DoubleSumOfTwo, DoubleSumSqrtsOfTwo, DoubleSumOfTwo
DoubleSumSqrtsOfTwo, DoubleSumSqrtsOfTwo, DoubleProductOfTwo
DoubleSumSqrtsOfTwo, DoubleSumSqrtsOfTwo, DoubleSumOfTwo
DoubleProductOfTwo, DoubleSumOfTwo, DoubleProductOfTwo
DoubleSumSqrtsOfTwo, DoubleSumOfTwo, DoubleProductOfTwo
DoubleProductOfTwo, DoubleSumOfTwo, DoubleProductOfTwo
DoubleSumOfTwo, DoubleSumSqrtsOfTwo, DoubleSumOfTwo
DoubleSumOfTwo, DoubleProductOfTwo, DoubleProductOfTwo
DoubleSumOfTwo, DoubleProductOfTwo, DoubleProductOfTwo
DoubleSumOfTwo, DoubleSumOfTwo, DoubleProductOfTwo
DoubleProductOfTwo, DoubleProductOfTwo, DoubleProductOfTwo
DoubleSumSqrtsOfTwo, DoubleSumSqrtsOfTwo, DoubleSumOfTwo
DoubleProductOfTwo, DoubleProductOfTwo, DoubleProductOfTwo
DoubleProductOfTwo, DoubleSumOfTwo, DoubleProductOfTwo
DoubleSumOfTwo, DoubleSumSqrtsOfTwo, DoubleSumSqrtsOfTwo
DoubleSumOfTwo, DoubleSumSqrtsOfTwo, DoubleSumSqrtsOfTwo
DoubleSumSqrtsOfTwo, DoubleSumSqrtsOfTwo, DoubleSumOfTwo
DoubleSumOfTwo, DoubleProductOfTwo, DoubleProductOfTwo
DoubleSumSqrtsOfTwo, DoubleSumSqrtsOfTwo, DoubleProductOfTwo
DoubleSumOfTwo, DoubleProductOfTwo, DoubleSumSqrtsOfTwo
DoubleSumSqrtsOfTwo, DoubleSumOfTwo, DoubleSumSqrtsOfTwo
DoubleProductOfTwo, DoubleSumSqrtsOfTwo, DoubleSumOfTwo
DoubleProductOfTwo, DoubleProductOfTwo, DoubleSumOfTwo
DoubleSumSqrtsOfTwo, DoubleSumOfTwo, DoubleSumSqrtsOfTwo
DoubleSumSqrtsOfTwo, DoubleProductOfTwo, DoubleSumOfTwo
DoubleProductOfTwo, DoubleSumSqrtsOfTwo, DoubleSumSqrtsOfTwo
DoubleSumSqrtsOfTwo, DoubleProductOfTwo, DoubleSumOfTwo
DoubleSumOfTwo, DoubleSumOfTwo, DoubleSumOfTwo
DoubleSumSqrtsOfTwo, DoubleSumSqrtsOfTwo, DoubleSumSqrtsOfTwo
DoubleProductOfTwo, DoubleSumOfTwo, DoubleSumOfTwo
DoubleSumOfTwo, DoubleProductOfTwo, DoubleProductOfTwo
DoubleSumSqrtsOfTwo, DoubleSumOfTwo, DoubleSumOfTwo
DoubleSumSqrtsOfTwo, DoubleSumSqrtsOfTwo, DoubleSumOfTwo
DoubleProductOfTwo, DoubleProductOfTwo, DoubleSumSqrtsOfTwo
DoubleProductOfTwo, DoubleSumOfTwo, DoubleSumSqrtsOfTwo
DoubleSumOfTwo, DoubleSumOfTwo, DoubleProductOfTwo
DoubleProductOfTwo, DoubleProductOfTwo, DoubleSumOfTwo
DoubleSumOfTwo, DoubleProductOfTwo, DoubleSumOfTwo
DoubleProductOfTwo, DoubleSumOfTwo, DoubleProductOfTwo
DoubleProductOfTwo, DoubleSumOfTwo, DoubleProductOfTwo
DoubleProductOfTwo, DoubleSumOfTwo, DoubleProductOfTwo
DoubleSumOfTwo, DoubleProductOfTwo, DoubleSumOfTwo
DoubleProductOfTwo, DoubleSumOfTwo, DoubleSumSqrtsOfTwo
DoubleSumOfTwo, DoubleProductOfTwo, DoubleSumSqrtsOfTwo
DoubleProductOfTwo, DoubleProductOfTwo, DoubleSumSqrtsOfTwo
DoubleProductOfTwo, DoubleSumSqrtsOfTwo, DoubleSumOfTwo
DoubleSumSqrtsOfTwo, DoubleSumOfTwo, DoubleSumOfTwo
DoubleSumOfTwo, DoubleProductOfTwo, DoubleProductOfTwo
DoubleSumOfTwo, DoubleProductOfTwo, DoubleSumOfTwo
DoubleSumSqrtsOfTwo, DoubleSumSqrtsOfTwo, DoubleProductOfTwo
DoubleProductOfTwo, DoubleProductOfTwo, DoubleProductOfTwo
DoubleSumSqrtsOfTwo, DoubleSumSqrtsOfTwo, DoubleSumSqrtsOfTwo
DoubleProductOfTwo, DoubleSumSqrtsOfTwo, DoubleSumOfTwo
DoubleProductOfTwo, DoubleProductOfTwo, DoubleProductOfTwo
DoubleSumSqrtsOfTwo, DoubleSumSqrtsOfTwo, DoubleSumSqrtsOfTwo
DoubleSumSqrtsOfTwo, DoubleProductOfTwo, DoubleSumSqrtsOfTwo
DoubleSumOfTwo, DoubleProductOfTwo, DoubleProductOfTwo
DoubleSumSqrtsOfTwo, DoubleSumSqrtsOfTwo, DoubleSumSqrtsOfTwo
DoubleSumSqrtsOfTwo, DoubleSumOfTwo, DoubleSumSqrtsOfTwo
DoubleSumSqrtsOfTwo, DoubleSumOfTwo, DoubleSumOfTwo
DoubleProductOfTwo, DoubleSumSqrtsOfTwo, DoubleProductOfTwo
